X,Z,Yard Line Reference,Side,Position Description
0,18.75,10,2,"S2, 2 steps outside 10 yard line, On front sideline"
0,19.375,10,2,"S2, 1 steps outside 10 yard line, On front sideline"
0,20,10,2,"S2, On 10 yard line, On front sideline"
0,20.625,10,2,"S2, 1 steps inside 10 yard line, On front sideline"
0,21.25,10,2,"S2, 2 steps inside 10 yard line, On front sideline"
0,21.875,10,2,"S2, 3 steps inside 10 yard line, On front sideline"
0,22.5,15,2,"S2, 4 steps outside 15 yard line, On front sideline"
0,23.125,15,2,"S2, 3 steps outside 15 yard line, On front sideline"
0,23.75,15,2,"S2, 2 steps outside 15 yard line, On front sideline"
0,24.375,15,2,"S2, 1 steps outside 15 yard line, On front sideline"
0,25,15,2,"S2, On 15 yard line, On front sideline"
0,25.625,15,2,"S2, 1 steps inside 15 yard line, On front sideline"
0,26.25,15,2,"S2, 2 steps inside 15 yard line, On front sideline"
0,26.875,15,2,"S2, 3 steps inside 15 yard line, On front sideline"
0,27.5,20,2,"S2, 4 steps outside 20 yard line, On front sideline"
0,28.125,20,2,"S2, 3 steps outside 20 yard line, On front sideline"
0,28.75,20,2,"S2, 2 steps outside 20 yard line, On front sideline"
0,29.375,20,2,"S2, 1 steps outside 20 yard line, On front sideline"
0,30,20,2,"S2, On 20 yard line, On front sideline"
0,30.625,20,2,"S2, 1 steps inside 20 yard line, On front sideline"
0,31.25,20,2,"S2, 2 steps inside 20 yard line, On front sideline"
0,31.875,20,2,"S2, 3 steps inside 20 yard line, On front sideline"
0,32.5,25,2,"S2, 4 steps outside 25 yard line, On front sideline"
0,33.125,25,2,"S2, 3 steps outside 25 yard line, On front sideline"
0,33.75,25,2,"S2, 2 steps outside 25 yard line, On front sideline"
0,34.375,25,2,"S2, 1 steps outside 25 yard line, On front sideline"
0,35,25,2,"S2, On 25 yard line, On front sideline"
0,35.625,25,2,"S2, 1 steps inside 25 yard line, On front sideline"
0,36.25,25,2,"S2, 2 steps inside 25 yard line, On front sideline"
0,36.875,25,2,"S2, 3 steps inside 25 yard line, On front sideline"
0,37.5,30,2,"S2, 4 steps outside 30 yard line, On front sideline"
0,38.125,30,2,"S2, 3 steps outside 30 yard line, On front sideline"
0,38.75,30,2,"S2, 2 steps outside 30 yard line, On front sideline"
0,39.375,30,2,"S2, 1 steps outside 30 yard line, On front sideline"
0,40,30,2,"S2, On 30 yard line, On front sideline"
0,40.625,30,2,"S2, 1 steps inside 30 yard line, On front sideline"
0,41.25,30,2,"S2, 2 steps inside 30 yard line, On front sideline"
0,41.875,30,2,"S2, 3 steps inside 30 yard line, On front sideline"
0,42.5,35,2,"S2, 4 steps outside 35 yard line, On front sideline"
0,43.125,35,2,"S2, 3 steps outside 35 yard line, On front sideline"
0,43.75,35,2,"S2, 2 steps outside 35 yard line, On front sideline"
0,44.375,35,2,"S2, 1 steps outside 35 yard line, On front sideline"
0,45,35,2,"S2, On 35 yard line, On front sideline"
0,45.625,35,2,"S2, 1 steps inside 35 yard line, On front sideline"
0,46.25,35,2,"S2, 2 steps inside 35 yard line, On front sideline"
0,46.875,35,2,"S2, 3 steps inside 35 yard line, On front sideline"
0,47.5,40,2,"S2, 4 steps outside 40 yard line, On front sideline"
0,48.125,40,2,"S2, 3 steps outside 40 yard line, On front sideline"
0,48.75,40,2,"S2, 2 steps outside 40 yard line, On front sideline"
0,49.375,40,2,"S2, 1 steps outside 40 yard line, On front sideline"
0,50,40,2,"S2, On 40 yard line, On front sideline"
0,50.625,40,2,"S2, 1 steps inside 40 yard line, On front sideline"
0,51.25,40,2,"S2, 2 steps inside 40 yard line, On front sideline"
0,51.875,40,2,"S2, 3 steps inside 40 yard line, On front sideline"
0,52.5,45,2,"S2, 4 steps outside 45 yard line, On front sideline"
0,53.125,45,2,"S2, 3 steps outside 45 yard line, On front sideline"
0,53.75,45,2,"S2, 2 steps outside 45 yard line, On front sideline"
0,54.375,45,2,"S2, 1 steps outside 45 yard line, On front sideline"
0,55,45,2,"S2, On 45 yard line, On front sideline"
0,55.625,45,2,"S2, 1 steps inside 45 yard line, On front sideline"
0,56.25,45,2,"S2, 2 steps inside 45 yard line, On front sideline"
0,56.875,45,2,"S2, 3 steps inside 45 yard line, On front sideline"
0,57.5,50,2,"S2, 4 steps outside 50 yard line, On front sideline"
0,58.125,50,2,"S2, 3 steps outside 50 yard line, On front sideline"
0,58.75,50,2,"S2, 2 steps outside 50 yard line, On front sideline"
0,59.375,50,2,"S2, 1 steps outside 50 yard line, On front sideline"
0,60,50,1,"S1, On 50 yard line, On front sideline"
0,60.625,50,1,"S1, 1 steps outside 50 yard line, On front sideline"
0,61.25,50,1,"S1, 2 steps outside 50 yard line, On front sideline"
0,61.875,50,1,"S1, 3 steps outside 50 yard line, On front sideline"
0,62.5,50,1,"S1, 4 steps outside 50 yard line, On front sideline"
0,63.125,45,1,"S1, 3 steps inside 45 yard line, On front sideline"
0,63.75,45,1,"S1, 2 steps inside 45 yard line, On front sideline"
0,64.375,45,1,"S1, 1 steps inside 45 yard line, On front sideline"
0,65,45,1,"S1, On 45 yard line, On front sideline"
0,65.625,45,1,"S1, 1 steps outside 45 yard line, On front sideline"
0,66.25,45,1,"S1, 2 steps outside 45 yard line, On front sideline"
0,66.875,45,1,"S1, 3 steps outside 45 yard line, On front sideline"
0,67.5,45,1,"S1, 4 steps outside 45 yard line, On front sideline"
0,68.125,40,1,"S1, 3 steps inside 40 yard line, On front sideline"
0,68.75,40,1,"S1, 2 steps inside 40 yard line, On front sideline"
0,69.375,40,1,"S1, 1 steps inside 40 yard line, On front sideline"
0,70,40,1,"S1, On 40 yard line, On front sideline"
0,70.625,40,1,"S1, 1 steps outside 40 yard line, On front sideline"
0,71.25,40,1,"S1, 2 steps outside 40 yard line, On front sideline"
0,71.875,40,1,"S1, 3 steps outside 40 yard line, On front sideline"
0,72.5,40,1,"S1, 4 steps outside 40 yard line, On front sideline"
0,73.125,35,1,"S1, 3 steps inside 35 yard line, On front sideline"
0,73.75,35,1,"S1, 2 steps inside 35 yard line, On front sideline"
0,74.375,35,1,"S1, 1 steps inside 35 yard line, On front sideline"
0,75,35,1,"S1, On 35 yard line, On front sideline"
0,75.625,35,1,"S1, 1 steps outside 35 yard line, On front sideline"
0,76.25,35,1,"S1, 2 steps outside 35 yard line, On front sideline"
0,76.875,35,1,"S1, 3 steps outside 35 yard line, On front sideline"
0,77.5,35,1,"S1, 4 steps outside 35 yard line, On front sideline"
0,78.125,30,1,"S1, 3 steps inside 30 yard line, On front sideline"
0,78.75,30,1,"S1, 2 steps inside 30 yard line, On front sideline"
0,79.375,30,1,"S1, 1 steps inside 30 yard line, On front sideline"
0,80,30,1,"S1, On 30 yard line, On front sideline"
0,80.625,30,1,"S1, 1 steps outside 30 yard line, On front sideline"
0,81.25,30,1,"S1, 2 steps outside 30 yard line, On front sideline"
0,81.875,30,1,"S1, 3 steps outside 30 yard line, On front sideline"
0,82.5,30,1,"S1, 4 steps outside 30 yard line, On front sideline"
0,83.125,25,1,"S1, 3 steps inside 25 yard line, On front sideline"
0,83.75,25,1,"S1, 2 steps inside 25 yard line, On front sideline"
0,84.375,25,1,"S1, 1 steps inside 25 yard line, On front sideline"
0,85,25,1,"S1, On 25 yard line, On front sideline"
0,85.625,25,1,"S1, 1 steps outside 25 yard line, On front sideline"
0,86.25,25,1,"S1, 2 steps outside 25 yard line, On front sideline"
0,86.875,25,1,"S1, 3 steps outside 25 yard line, On front sideline"
0,87.5,25,1,"S1, 4 steps outside 25 yard line, On front sideline"
0,88.125,20,1,"S1, 3 steps inside 20 yard line, On front sideline"
0,88.75,20,1,"S1, 2 steps inside 20 yard line, On front sideline"
0,89.375,20,1,"S1, 1 steps inside 20 yard line, On front sideline"
0,90,20,1,"S1, On 20 yard line, On front sideline"
0,90.625,20,1,"S1, 1 steps outside 20 yard line, On front sideline"
0,91.25,20,1,"S1, 2 steps outside 20 yard line, On front sideline"
0,91.875,20,1,"S1, 3 steps outside 20 yard line, On front sideline"
0,92.5,20,1,"S1, 4 steps outside 20 yard line, On front sideline"
0,93.125,15,1,"S1, 3 steps inside 15 yard line, On front sideline"
0,93.75,15,1,"S1, 2 steps inside 15 yard line, On front sideline"
0,94.375,15,1,"S1, 1 steps inside 15 yard line, On front sideline"
0,95,15,1,"S1, On 15 yard line, On front sideline"
0,95.625,15,1,"S1, 1 steps outside 15 yard line, On front sideline"
0,96.25,15,1,"S1, 2 steps outside 15 yard line, On front sideline"
0,96.875,15,1,"S1, 3 steps outside 15 yard line, On front sideline"
0,97.5,15,1,"S1, 4 steps outside 15 yard line, On front sideline"
0,98.125,10,1,"S1, 3 steps inside 10 yard line, On front sideline"
0,98.75,10,1,"S1, 2 steps inside 10 yard line, On front sideline"
0,99.375,10,1,"S1, 1 steps inside 10 yard line, On front sideline"
0,100,10,1,"S1, On 10 yard line, On front sideline"
0,100.625,10,1,"S1, 1 steps outside 10 yard line, On front sideline"
0,101.25,10,1,"S1, 2 steps outside 10 yard line, On front sideline"
0,101.875,10,1,"S1, 3 steps outside 10 yard line, On front sideline"
0,102.5,10,1,"S1, 4 steps outside 10 yard line, On front sideline"
0,103.125,5,1,"S1, 3 steps inside 5 yard line, On front sideline"
0,103.75,5,1,"S1, 2 steps inside 5 yard line, On front sideline"
0,104.375,5,1,"S1, 1 steps inside 5 yard line, On front sideline"
0,105,5,1,"S1, On 5 yard line, On front sideline"
0,105.625,5,1,"S1, 1 steps outside 5 yard line, On front sideline"
0,106.25,5,1,"S1, 2 steps outside 5 yard line, On front sideline"
0,106.875,5,1,"S1, 3 steps outside 5 yard line, On front sideline"
0,107.5,5,1,"S1, 4 steps outside 5 yard line, On front sideline"
0,108.125,0,1,"S1, 3 steps inside 0 yard line, On front sideline"
0,108.75,0,1,"S1, 2 steps inside 0 yard line, On front sideline"
0,109.375,0,1,"S1, 1 steps inside 0 yard line, On front sideline"
0,110,0,1,"S1, On the 0 yard line, On front sideline"
0,110.625,0,1,"S1, 1 steps outside the 0 yard line, On front sideline"
0,111.25,0,1,"S1, 2 steps outside the 0 yard line, On front sideline"
0,111.875,0,1,"S1, 3 steps outside the 0 yard line, On front sideline"
0,112.5,0,1,"S1, 4 steps outside the 0 yard line, On front sideline"
0,113.125,0,1,"S1, 5 steps outside the 0 yard line, On front sideline"
0,113.75,0,1,"S1, 6 steps outside the 0 yard line, On front sideline"
0,114.375,0,1,"S1, 7 steps outside the 0 yard line, On front sideline"
0,115,0,1,"S1, 8 steps outside the 0 yard line, On front sideline"
0,115.625,0,1,"S1, 9 steps outside the 0 yard line, On front sideline"
0,116.25,0,1,"S1, 10 steps outside the 0 yard line, On front sideline"
0,116.875,0,1,"S1, 11 steps outside the 0 yard line, On front sideline"
0,117.5,0,1,"S1, 12 steps outside the 0 yard line, On front sideline"
0,118.125,0,1,"S1, 13 steps outside the 0 yard line, On front sideline"
0,118.75,0,1,"S1, 14 steps outside the 0 yard line, On front sideline"
0,119.375,0,1,"S1, 15 steps outside the 0 yard line, On front sideline"
0,120,0,1,"S1, 16 steps outside the 0 yard line, On front sideline"
0.625,0,0,2,"S2, 16 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,0.625,0,2,"S2, 15 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,1.25,0,2,"S2, 14 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,1.875,0,2,"S2, 13 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,2.5,0,2,"S2, 12 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,3.125,0,2,"S2, 11 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,3.75,0,2,"S2, 10 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,4.375,0,2,"S2, 9 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,5,0,2,"S2, 8 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,5.625,0,2,"S2, 7 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,6.25,0,2,"S2, 6 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,6.875,0,2,"S2, 5 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,7.5,0,2,"S2, 4 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,8.125,0,2,"S2, 3 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,8.75,0,2,"S2, 2 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,9.375,0,2,"S2, 1 steps outside the 0 yard line, 1 steps behind front sideline"
0.625,10,0,2,"S2, On the 0 yard line, 1 steps behind front sideline"
0.625,10.625,0,2,"S2, 1 steps inside 0 yard line, 1 steps behind front sideline"
0.625,11.25,0,2,"S2, 2 steps inside 0 yard line, 1 steps behind front sideline"
0.625,11.875,0,2,"S2, 3 steps inside 0 yard line, 1 steps behind front sideline"
0.625,12.5,5,2,"S2, 4 steps outside 5 yard line, 1 steps behind front sideline"
0.625,13.125,5,2,"S2, 3 steps outside 5 yard line, 1 steps behind front sideline"
0.625,13.75,5,2,"S2, 2 steps outside 5 yard line, 1 steps behind front sideline"
0.625,14.375,5,2,"S2, 1 steps outside 5 yard line, 1 steps behind front sideline"
0.625,15,5,2,"S2, On 5 yard line, 1 steps behind front sideline"
0.625,15.625,5,2,"S2, 1 steps inside 5 yard line, 1 steps behind front sideline"
0.625,16.25,5,2,"S2, 2 steps inside 5 yard line, 1 steps behind front sideline"
0.625,16.875,5,2,"S2, 3 steps inside 5 yard line, 1 steps behind front sideline"
0.625,17.5,10,2,"S2, 4 steps outside 10 yard line, 1 steps behind front sideline"
0.625,18.125,10,2,"S2, 3 steps outside 10 yard line, 1 steps behind front sideline"
0.625,18.75,10,2,"S2, 2 steps outside 10 yard line, 1 steps behind front sideline"
0.625,19.375,10,2,"S2, 1 steps outside 10 yard line, 1 steps behind front sideline"
0.625,20,10,2,"S2, On 10 yard line, 1 steps behind front sideline"
0.625,20.625,10,2,"S2, 1 steps inside 10 yard line, 1 steps behind front sideline"
0.625,21.25,10,2,"S2, 2 steps inside 10 yard line, 1 steps behind front sideline"
0.625,21.875,10,2,"S2, 3 steps inside 10 yard line, 1 steps behind front sideline"
0.625,22.5,15,2,"S2, 4 steps outside 15 yard line, 1 steps behind front sideline"
0.625,23.125,15,2,"S2, 3 steps outside 15 yard line, 1 steps behind front sideline"
0.625,23.75,15,2,"S2, 2 steps outside 15 yard line, 1 steps behind front sideline"
0.625,24.375,15,2,"S2, 1 steps outside 15 yard line, 1 steps behind front sideline"
0.625,25,15,2,"S2, On 15 yard line, 1 steps behind front sideline"
0.625,25.625,15,2,"S2, 1 steps inside 15 yard line, 1 steps behind front sideline"
0.625,26.25,15,2,"S2, 2 steps inside 15 yard line, 1 steps behind front sideline"
0.625,26.875,15,2,"S2, 3 steps inside 15 yard line, 1 steps behind front sideline"
0.625,27.5,20,2,"S2, 4 steps outside 20 yard line, 1 steps behind front sideline"
0.625,28.125,20,2,"S2, 3 steps outside 20 yard line, 1 steps behind front sideline"
0.625,28.75,20,2,"S2, 2 steps outside 20 yard line, 1 steps behind front sideline"
0.625,29.375,20,2,"S2, 1 steps outside 20 yard line, 1 steps behind front sideline"
0.625,30,20,2,"S2, On 20 yard line, 1 steps behind front sideline"
0.625,30.625,20,2,"S2, 1 steps inside 20 yard line, 1 steps behind front sideline"
0.625,31.25,20,2,"S2, 2 steps inside 20 yard line, 1 steps behind front sideline"
0.625,31.875,20,2,"S2, 3 steps inside 20 yard line, 1 steps behind front sideline"
0.625,32.5,25,2,"S2, 4 steps outside 25 yard line, 1 steps behind front sideline"
0.625,33.125,25,2,"S2, 3 steps outside 25 yard line, 1 steps behind front sideline"
0.625,33.75,25,2,"S2, 2 steps outside 25 yard line, 1 steps behind front sideline"
0.625,34.375,25,2,"S2, 1 steps outside 25 yard line, 1 steps behind front sideline"
0.625,35,25,2,"S2, On 25 yard line, 1 steps behind front sideline"
0.625,35.625,25,2,"S2, 1 steps inside 25 yard line, 1 steps behind front sideline"
0.625,36.25,25,2,"S2, 2 steps inside 25 yard line, 1 steps behind front sideline"
0.625,36.875,25,2,"S2, 3 steps inside 25 yard line, 1 steps behind front sideline"
0.625,37.5,30,2,"S2, 4 steps outside 30 yard line, 1 steps behind front sideline"
0.625,38.125,30,2,"S2, 3 steps outside 30 yard line, 1 steps behind front sideline"
0.625,38.75,30,2,"S2, 2 steps outside 30 yard line, 1 steps behind front sideline"
0.625,39.375,30,2,"S2, 1 steps outside 30 yard line, 1 steps behind front sideline"
0.625,40,30,2,"S2, On 30 yard line, 1 steps behind front sideline"
0.625,40.625,30,2,"S2, 1 steps inside 30 yard line, 1 steps behind front sideline"
0.625,41.25,30,2,"S2, 2 steps inside 30 yard line, 1 steps behind front sideline"
0.625,41.875,30,2,"S2, 3 steps inside 30 yard line, 1 steps behind front sideline"
0.625,42.5,35,2,"S2, 4 steps outside 35 yard line, 1 steps behind front sideline"
0.625,43.125,35,2,"S2, 3 steps outside 35 yard line, 1 steps behind front sideline"
0.625,43.75,35,2,"S2, 2 steps outside 35 yard line, 1 steps behind front sideline"
0.625,44.375,35,2,"S2, 1 steps outside 35 yard line, 1 steps behind front sideline"
0.625,45,35,2,"S2, On 35 yard line, 1 steps behind front sideline"
0.625,45.625,35,2,"S2, 1 steps inside 35 yard line, 1 steps behind front sideline"
0.625,46.25,35,2,"S2, 2 steps inside 35 yard line, 1 steps behind front sideline"
0.625,46.875,35,2,"S2, 3 steps inside 35 yard line, 1 steps behind front sideline"
0.625,47.5,40,2,"S2, 4 steps outside 40 yard line, 1 steps behind front sideline"
0.625,48.125,40,2,"S2, 3 steps outside 40 yard line, 1 steps behind front sideline"
0.625,48.75,40,2,"S2, 2 steps outside 40 yard line, 1 steps behind front sideline"
0.625,49.375,40,2,"S2, 1 steps outside 40 yard line, 1 steps behind front sideline"
0.625,50,40,2,"S2, On 40 yard line, 1 steps behind front sideline"
0.625,50.625,40,2,"S2, 1 steps inside 40 yard line, 1 steps behind front sideline"
0.625,51.25,40,2,"S2, 2 steps inside 40 yard line, 1 steps behind front sideline"
0.625,51.875,40,2,"S2, 3 steps inside 40 yard line, 1 steps behind front sideline"
0.625,52.5,45,2,"S2, 4 steps outside 45 yard line, 1 steps behind front sideline"
0.625,53.125,45,2,"S2, 3 steps outside 45 yard line, 1 steps behind front sideline"
0.625,53.75,45,2,"S2, 2 steps outside 45 yard line, 1 steps behind front sideline"
0.625,54.375,45,2,"S2, 1 steps outside 45 yard line, 1 steps behind front sideline"
0.625,55,45,2,"S2, On 45 yard line, 1 steps behind front sideline"
0.625,55.625,45,2,"S2, 1 steps inside 45 yard line, 1 steps behind front sideline"
0.625,56.25,45,2,"S2, 2 steps inside 45 yard line, 1 steps behind front sideline"
0.625,56.875,45,2,"S2, 3 steps inside 45 yard line, 1 steps behind front sideline"
0.625,57.5,50,2,"S2, 4 steps outside 50 yard line, 1 steps behind front sideline"
0.625,58.125,50,2,"S2, 3 steps outside 50 yard line, 1 steps behind front sideline"
0.625,58.75,50,2,"S2, 2 steps outside 50 yard line, 1 steps behind front sideline"
0.625,59.375,50,2,"S2, 1 steps outside 50 yard line, 1 steps behind front sideline"
0.625,60,50,1,"S1, On 50 yard line, 1 steps behind front sideline"
0.625,60.625,50,1,"S1, 1 steps outside 50 yard line, 1 steps behind front sideline"
0.625,61.25,50,1,"S1, 2 steps outside 50 yard line, 1 steps behind front sideline"
0.625,61.875,50,1,"S1, 3 steps outside 50 yard line, 1 steps behind front sideline"
0.625,62.5,50,1,"S1, 4 steps outside 50 yard line, 1 steps behind front sideline"
0.625,63.125,45,1,"S1, 3 steps inside 45 yard line, 1 steps behind front sideline"
0.625,63.75,45,1,"S1, 2 steps inside 45 yard line, 1 steps behind front sideline"
0.625,64.375,45,1,"S1, 1 steps inside 45 yard line, 1 steps behind front sideline"
0.625,65,45,1,"S1, On 45 yard line, 1 steps behind front sideline"
0.625,65.625,45,1,"S1, 1 steps outside 45 yard line, 1 steps behind front sideline"
0.625,66.25,45,1,"S1, 2 steps outside 45 yard line, 1 steps behind front sideline"
0.625,66.875,45,1,"S1, 3 steps outside 45 yard line, 1 steps behind front sideline"
0.625,67.5,45,1,"S1, 4 steps outside 45 yard line, 1 steps behind front sideline"
0.625,68.125,40,1,"S1, 3 steps inside 40 yard line, 1 steps behind front sideline"
0.625,68.75,40,1,"S1, 2 steps inside 40 yard line, 1 steps behind front sideline"
0.625,69.375,40,1,"S1, 1 steps inside 40 yard line, 1 steps behind front sideline"
0.625,70,40,1,"S1, On 40 yard line, 1 steps behind front sideline"
0.625,70.625,40,1,"S1, 1 steps outside 40 yard line, 1 steps behind front sideline"
0.625,71.25,40,1,"S1, 2 steps outside 40 yard line, 1 steps behind front sideline"
0.625,71.875,40,1,"S1, 3 steps outside 40 yard line, 1 steps behind front sideline"
0.625,72.5,40,1,"S1, 4 steps outside 40 yard line, 1 steps behind front sideline"
0.625,73.125,35,1,"S1, 3 steps inside 35 yard line, 1 steps behind front sideline"
0.625,73.75,35,1,"S1, 2 steps inside 35 yard line, 1 steps behind front sideline"
0.625,74.375,35,1,"S1, 1 steps inside 35 yard line, 1 steps behind front sideline"
0.625,75,35,1,"S1, On 35 yard line, 1 steps behind front sideline"
0.625,75.625,35,1,"S1, 1 steps outside 35 yard line, 1 steps behind front sideline"
0.625,76.25,35,1,"S1, 2 steps outside 35 yard line, 1 steps behind front sideline"
0.625,76.875,35,1,"S1, 3 steps outside 35 yard line, 1 steps behind front sideline"
0.625,77.5,35,1,"S1, 4 steps outside 35 yard line, 1 steps behind front sideline"
0.625,78.125,30,1,"S1, 3 steps inside 30 yard line, 1 steps behind front sideline"
0.625,78.75,30,1,"S1, 2 steps inside 30 yard line, 1 steps behind front sideline"
0.625,79.375,30,1,"S1, 1 steps inside 30 yard line, 1 steps behind front sideline"
0.625,80,30,1,"S1, On 30 yard line, 1 steps behind front sideline"
0.625,80.625,30,1,"S1, 1 steps outside 30 yard line, 1 steps behind front sideline"
0.625,81.25,30,1,"S1, 2 steps outside 30 yard line, 1 steps behind front sideline"
0.625,81.875,30,1,"S1, 3 steps outside 30 yard line, 1 steps behind front sideline"
0.625,82.5,30,1,"S1, 4 steps outside 30 yard line, 1 steps behind front sideline"
0.625,83.125,25,1,"S1, 3 steps inside 25 yard line, 1 steps behind front sideline"
0.625,83.75,25,1,"S1, 2 steps inside 25 yard line, 1 steps behind front sideline"
0.625,84.375,25,1,"S1, 1 steps inside 25 yard line, 1 steps behind front sideline"
0.625,85,25,1,"S1, On 25 yard line, 1 steps behind front sideline"
0.625,85.625,25,1,"S1, 1 steps outside 25 yard line, 1 steps behind front sideline"
0.625,86.25,25,1,"S1, 2 steps outside 25 yard line, 1 steps behind front sideline"
0.625,86.875,25,1,"S1, 3 steps outside 25 yard line, 1 steps behind front sideline"
0.625,87.5,25,1,"S1, 4 steps outside 25 yard line, 1 steps behind front sideline"
0.625,88.125,20,1,"S1, 3 steps inside 20 yard line, 1 steps behind front sideline"
0.625,88.75,20,1,"S1, 2 steps inside 20 yard line, 1 steps behind front sideline"
0.625,89.375,20,1,"S1, 1 steps inside 20 yard line, 1 steps behind front sideline"
0.625,90,20,1,"S1, On 20 yard line, 1 steps behind front sideline"
0.625,90.625,20,1,"S1, 1 steps outside 20 yard line, 1 steps behind front sideline"
0.625,91.25,20,1,"S1, 2 steps outside 20 yard line, 1 steps behind front sideline"
0.625,91.875,20,1,"S1, 3 steps outside 20 yard line, 1 steps behind front sideline"
0.625,92.5,20,1,"S1, 4 steps outside 20 yard line, 1 steps behind front sideline"
0.625,93.125,15,1,"S1, 3 steps inside 15 yard line, 1 steps behind front sideline"
0.625,93.75,15,1,"S1, 2 steps inside 15 yard line, 1 steps behind front sideline"
0.625,94.375,15,1,"S1, 1 steps inside 15 yard line, 1 steps behind front sideline"
0.625,95,15,1,"S1, On 15 yard line, 1 steps behind front sideline"
0.625,95.625,15,1,"S1, 1 steps outside 15 yard line, 1 steps behind front sideline"
0.625,96.25,15,1,"S1, 2 steps outside 15 yard line, 1 steps behind front sideline"
0.625,96.875,15,1,"S1, 3 steps outside 15 yard line, 1 steps behind front sideline"
0.625,97.5,15,1,"S1, 4 steps outside 15 yard line, 1 steps behind front sideline"
0.625,98.125,10,1,"S1, 3 steps inside 10 yard line, 1 steps behind front sideline"
0.625,98.75,10,1,"S1, 2 steps inside 10 yard line, 1 steps behind front sideline"
0.625,99.375,10,1,"S1, 1 steps inside 10 yard line, 1 steps behind front sideline"
0.625,100,10,1,"S1, On 10 yard line, 1 steps behind front sideline"
0.625,100.625,10,1,"S1, 1 steps outside 10 yard line, 1 steps behind front sideline"
0.625,101.25,10,1,"S1, 2 steps outside 10 yard line, 1 steps behind front sideline"
0.625,101.875,10,1,"S1, 3 steps outside 10 yard line, 1 steps behind front sideline"
0.625,102.5,10,1,"S1, 4 steps outside 10 yard line, 1 steps behind front sideline"
0.625,103.125,5,1,"S1, 3 steps inside 5 yard line, 1 steps behind front sideline"
0.625,103.75,5,1,"S1, 2 steps inside 5 yard line, 1 steps behind front sideline"
0.625,104.375,5,1,"S1, 1 steps inside 5 yard line, 1 steps behind front sideline"
0.625,105,5,1,"S1, On 5 yard line, 1 steps behind front sideline"
0.625,105.625,5,1,"S1, 1 steps outside 5 yard line, 1 steps behind front sideline"
0.625,106.25,5,1,"S1, 2 steps outside 5 yard line, 1 steps behind front sideline"
0.625,106.875,5,1,"S1, 3 steps outside 5 yard line, 1 steps behind front sideline"
0.625,107.5,5,1,"S1, 4 steps outside 5 yard line, 1 steps behind front sideline"
0.625,108.125,0,1,"S1, 3 steps inside 0 yard line, 1 steps behind front sideline"
